1;Date;Time;PM1,0;PM2,5;PM10;Temperature;Pressure;Humidity;Gas;Altitude
27;2020,02,20;13:58:40;11;12;8;11,66;1012,03;36,87;59,57;10,16
28;2020,02,20;14:01:40;9;10;7;11,69;1012,11;37,06;59,95;9,5
29;2020,02,20;14:04:40;10;11;8;12,02;1012,09;36,09;60,25;9,66
30;2020,02,20;14:07:40;9;10;7;12,26;1012,03;34,99;60,42;10,16
31;2020,02,20;14:10:41;7;7;5;12,13;1012,03;35,08;61,39;10,16
32;2020,02,20;14:13:41;6;6;4;12,18;1012,03;35,21;62,26;10,16
33;2020,02,20;14:16:41;7;7;5;12,28;1012,01;34,84;62,26;10,33
34;2020,02,20;14:19:41;8;9;6;12,44;1011,99;35,09;62,21;10,5
35;2020,02,20;14:22:41;8;9;6;12,48;1011,97;33,55;63,38;10,66
36;2020,02,20;14:25:42;7;7;5;12,45;1011,97;33,98;64,21;10,66
37;2020,02,20;14:28:42;8;9;6;12,19;1011,93;34,11;65,46;11
38;2020,02,20;14:31:42;7;7;5;11,96;1011,91;35,52;65,2;11,16
39;2020,02,20;14:34:42;9;10;7;11,75;1011,97;35,56;66,07;10,66
40;2020,02,20;14:37:43;8;9;6;11,56;1012,01;35,94;67,13;10,33
41;2020,02,20;14:40:43;9;10;6;11,64;1012,03;35,54;67,62;10,16
42;2020,02,20;14:43:43;8;9;6;11,97;1012,13;34,79;67,89;9,33
43;2020,02,20;14:46:43;8;9;6;12,55;1012,13;33,28;66,7;9,33
44;2020,02,20;14:49:43;16;18;13;13,07;1012,13;32,47;65,92;9,33
45;2020,02,20;14:52:44;9;10;6;13,47;1012,11;31,56;66,07;9,5
46;2020,02,20;14:55:44;8;9;6;13,74;1012,11;31,28;66,28;9,5
47;2020,02,20;14:58:44;8;9;6;13,62;1012,07;31,66;67,72;9,83
48;2020,02,20;15:01:44;7;7;5;13,35;1011,99;31,71;69,23;10,5
49;2020,02,20;15:04:44;7;7;5;12,92;1011,99;33,82;70,45;10,5
50;2020,02,20;15:07:45;8;9;6;12,62;1011,99;34,15;70,57;10,5
51;2020,02,20;15:10:45;6;6;4;12,39;1012,01;34,45;71,77;10,33
52;2020,02,20;15:13:45;7;7;5;12,39;1012,03;34,63;70,63;10,16
53;2020,02,20;15:16:45;7;7;5;12,56;1012,11;34,29;70,63;9,5
54;2020,02,20;15:19:45;8;9;6;12,79;1012,13;33,72;71,04;9,33
55;2020,02,20;15:22:46;9;10;7;12,95;1012,15;33,44;71,59;9,16
56;2020,02,20;15:25:46;12;13;9;13,05;1012,19;33,68;71,77;8,83
57;2020,02,20;15:28:46;9;10;7;13,08;1012,17;33,77;71,77;9
58;2020,02,20;15:31:46;8;9;6;13,12;1012,19;33,62;71,1;8,83
59;2020,02,20;15:34:46;7;7;5;13,15;1012,23;33,45;71,22;8,5
60;2020,02,20;15:37:47;9;10;7;13,15;1012,21;33,94;71,59;8,66
61;2020,02,20;15:40:47;8;9;6;13,08;1012,19;33,28;72,89;8,83
62;2020,02,20;15:43:47;7;7;5;12,91;1012,19;33,44;72,96;8,83
63;2020,02,20;15:46:47;6;6;4;12,7;1012,25;33,85;75,44;8,33
64;2020,02,20;15:49:48;7;7;5;12,55;1012,25;34,6;75,92;8,33
65;2020,02,20;15:52:48;8;9;6;12,55;1012,28;34,76;75,31;8,08
66;2020,02,20;15:55:48;7;7;5;12,61;1012,32;34,33;74,38;7,75
67;2020,02,20;15:58:48;8;9;6;12,71;1012,36;34;73,85;7,41
68;2020,02,20;16:01:48;10;11;8;12,81;1012,34;34,36;72,64;7,58
69;2020,02,20;16:04:49;9;10;7;12,86;1012,38;34,58;72,2;7,25
70;2020,02,20;16:07:49;18;20;14;12,87;1012,34;34,67;72,96;7,58
71;2020,02,20;16:10:49;18;20;14;12,79;1012,34;34,49;74,11;7,58
72;2020,02,20;16:13:49;8;9;6;12,53;1012,32;34,39;77,68;7,75
73;2020,02,20;16:16:49;8;9;6;12,18;1012,34;35,68;77,89;7,58
74;2020,02,20;16:19:50;10;11;8;11,84;1012,3;36,59;78,33;7,91
75;2020,02,20;16:22:50;10;11;8;11,56;1012,36;36,78;78,69;7,41
76;2020,02,20;16:25:50;10;11;8;11,33;1012,34;37,59;76,06;7,58
77;2020,02,20;16:28:50;12;13;9;11,12;1012,36;38,04;78,25;7,41
78;2020,02,20;16:31:50;11;12;8;10,94;1012,34;37,96;78,18;7,58
79;2020,02,20;16:34:51;12;13;9;10,77;1012,38;38,56;78,25;7,25
80;2020,02,20;16:37:51;12;13;9;10,61;1012,34;38,81;76,82;7,58
81;2020,02,20;16:40:51;11;12;8;10,47;1012,38;38,98;78,04;7,25
82;2020,02,20;16:43:51;10;11;8;10,33;1012,34;39,22;78,11;7,58
83;2020,02,20;16:46:52;9;10;7;10,18;1012,34;39,75;78,25;7,58
84;2020,02,20;16:49:52;10;11;8;10,04;1012,32;39,78;78,62;7,75
85;2020,02,20;16:52:52;10;11;8;9,9;1012,3;39,95;80,27;7,91
86;2020,02,20;16:55:52;14;15;11;9,77;1012,3;40,43;79,29;7,91
87;2020,02,20;16:58:52;18;20;14;9,63;1012,32;41,02;78,91;7,75
88;2020,02,20;17:01:53;22;24;17;9,49;1012,34;41,42;76,61;7,58
89;2020,02,20;17:04:53;24;27;19;9,36;1012,34;41,15;78,77;7,58
90;2020,02,20;17:07:53;30;34;24;9,22;1012,36;41,92;79,44;7,41
91;2020,02,20;17:10:53;27;30;21;9,08;1012,38;42;77,96;7,25
92;2020,02,20;17:13:53;38;43;31;8,92;1012,4;42,16;75,78;7,08
93;2020,02,20;17:16:54;43;49;35;8,75;1012,42;42,69;72,64;6,91
94;2020,02,20;17:19:54;46;52;37;8,58;1012,44;43,16;72,83;6,75
95;2020,02,20;17:22:54;47;53;38;8,41;1012,44;43,83;72,7;6,75
96;2020,02,20;17:25:54;44;51;35;8,26;1012,46;44,27;72,2;6,58
97;2020,02,20;17:28:55;50;59;40;8,13;1012,48;44,86;72,96;6,42
98;2020,02,20;17:31:55;51;59;41;8;1012,48;45,04;72,77;6,42
99;2020,02,20;17:34:55;59;68;48;7,89;1012,48;45,25;72,2;6,42
100;2020,02,20;17:37:55;50;57;40;7,77;1012,5;45,5;71,41;6,25
101;2020,02,20;17:40:55;45;52;36;7,66;1012,48;45,89;70,69;6,42
102;2020,02,20;17:43:56;42;47;34;7,53;1012,48;46,16;70,45;6,42
103;2020,02,20;17:46:56;41;46;33;7,41;1012,5;46,38;69,86;6,25
104;2020,02,20;17:49:56;49;56;40;7,3;1012,48;47,13;69,69;6,42
105;2020,02,20;17:52:56;44;49;35;7,2;1012,5;47,52;69,57;6,25
106;2020,02,20;17:55:56;39;44;31;7,12;1012,52;47,87;69,35;6,08
107;2020,02,20;17:58:57;39;44;31;7,02;1012,5;47,65;69,12;6,25
108;2020,02,20;18:01:57;31;35;25;6,93;1012,5;47,84;69,4;6,25
109;2020,02,20;18:04:57;34;38;27;6,82;1012,52;48,23;69,75;6,08
110;2020,02,20;18:07:57;33;37;26;6,71;1012,52;48,09;70,33;6,08
111;2020,02,20;18:10:58;65;73;53;6,64;1012,54;49,22;69,98;5,91
112;2020,02,20;18:13:58;78;88;63;6,57;1012,54;49,27;69,17;5,91
113;2020,02,20;18:16:58;53;60;43;6,53;1012,54;49,16;69;5,91
114;2020,02,20;18:19:58;53;61;43;6,47;1012,56;49,61;68,83;5,75
115;2020,02,20;18:22:58;41;46;33;6,4;1012,56;49,68;68,55;5,75
116;2020,02,20;18:25:59;48;56;39;6,32;1012,54;50,35;68,83;5,91
117;2020,02,20;18:28:59;54;61;44;6,24;1012,54;50,73;69,57;5,91
118;2020,02,20;18:31:59;71;84;58;6,15;1012,56;50,98;69,4;5,75
119;2020,02,20;18:34:59;97;110;79;6,03;1012,56;51,54;68,61;5,75
120;2020,02,20;18:38:00;92;105;75;5,89;1012,56;51,95;67,62;5,75
121;2020,02,20;18:41:00;92;107;75;5,76;1012,56;52,55;66,81;5,75
122;2020,02,20;18:44:00;88;102;71;5,64;1012,56;52,81;65,36;5,75
123;2020,02,20;18:47:00;87;99;71;5,53;1012,54;53,14;65,71;5,91
124;2020,02,20;18:50:00;89;101;72;5,44;1012,58;53,4;66,13;5,58
125;2020,02,20;18:53:01;74;84;60;5,35;1012,58;53,86;66,81;5,58
126;2020,02,20;18:56:01;60;68;49;5,24;1012,56;53,92;67,67;5,75
127;2020,02,20;18:59:01;55;62;44;5,12;1012,56;54,23;68;5,75
128;2020,02,20;19:02:01;81;93;66;5;1012,56;54,5;68,83;5,75
129;2020,02,20;19:05:01;108;128;88;4,88;1012,58;55,22;69,12;5,58
130;2020,02,20;19:08:02;76;88;62;4,78;1012,58;55,44;68,78;5,58
131;2020,02,20;19:11:02;97;110;79;4,69;1012,58;55,33;68,72;5,58
132;2020,02,20;19:14:02;97;110;79;4,59;1012,58;55,43;68,05;5,58
133;2020,02,20;19:17:02;108;124;88;4,48;1012,58;55,9;67,62;5,58
134;2020,02,20;19:20:03;97;112;79;4,38;1012,58;56,53;67,72;5,58
135;2020,02,20;19:23:03;91;104;74;4,34;1012,6;56,76;68,11;5,41
136;2020,02,20;19:26:03;114;129;93;4,31;1012,58;56,98;67,13;5,58
137;2020,02,20;19:29:03;114;129;93;4,28;1012,6;56,65;67,72;5,41
138;2020,02,20;19:32:03;70;80;57;4,24;1012,58;56,62;68,83;5,58
139;2020,02,20;19:35:04;71;81;58;4,18;1012,6;56,69;69,29;5,41
140;2020,02,20;19:38:04;73;85;59;4,08;1012,6;56,98;69,23;5,41
141;2020,02,20;19:41:04;64;74;52;3,96;1012,6;57,42;69,75;5,41
142;2020,02,20;19:44:04;73;82;59;3,84;1012,62;57,77;70,15;5,25
143;2020,02,20;19:47:05;66;74;53;3,72;1012,6;58,36;70,57;5,41
144;2020,02,20;19:50:05;66;74;53;3,61;1012,62;58,6;70,21;5,25
145;2020,02,20;19:53:05;60;68;49;3,49;1012,62;58,85;70,81;5,25
146;2020,02,20;19:56:05;44;49;35;3,39;1012,6;59,42;71,1;5,41
147;2020,02,20;19:59:05;34;38;27;3,36;1012,62;59,52;71,83;5,25
148;2020,02,20;20:02:06;27;30;22;3,35;1012,58;59,19;72,27;5,58
149;2020,02,20;20:05:06;25;28;20;3,34;1012,6;59,17;73,02;5,41
150;2020,02,20;20:08:06;52;60;42;3,35;1012,58;59,14;73,92;5,58
151;2020,02,20;20:11:06;42;48;34;3,32;1012,58;59,05;74,11;5,58
152;2020,02,20;20:14:07;30;34;24;3,24;1012,58;59,12;75,17;5,58
153;2020,02,20;20:17:07;32;36;26;3,13;1012,6;59,72;75,99;5,41
154;2020,02,20;20:20:07;77;89;62;3,01;1012,62;60,35;75,11;5,25
155;2020,02,20;20:23:07;66;74;53;2,91;1012,62;60,5;73,98;5,25
156;2020,02,20;20:26:07;43;50;35;2,82;1012,62;60,27;74,84;5,25
157;2020,02,20;20:29:08;36;40;29;2,71;1012,6;60,27;75,31;5,41
158;2020,02,20;20:32:08;36;40;29;2,67;1012,62;61,16;75,24;5,25
159;2020,02,20;20:35:08;30;34;24;2,68;1012,64;60,82;76,75;5,08
160;2020,02,20;20:38:08;27;30;22;2,71;1012,62;60,71;77,11;5,25
161;2020,02,20;20:41:08;27;30;22;2,73;1012,68;60,55;76,47;4,75
162;2020,02,20;20:44:09;30;34;24;2,72;1012,64;60,26;76,75;5,08
163;2020,02,20;20:47:09;28;31;22;2,7;1012,66;60,67;78,77;4,91
164;2020,02,20;20:50:09;27;30;21;2,68;1012,68;60,76;77,32;4,75
165;2020,02,20;20:53:09;26;29;21;2,65;1012,66;60,5;78,69;4,91
166;2020,02,20;20:56:10;24;27;19;2,6;1012,68;60,5;78,91;4,75
167;2020,02,20;20:59:10;27;30;22;2,55;1012,68;61,03;78,62;4,75
168;2020,02,20;21:02:10;34;38;27;2,51;1012,66;61,28;78,47;4,91
169;2020,02,20;21:05:10;52;60;42;2,45;1012,6;61,31;78,18;5,41
170;2020,02,20;21:08:10;53;60;43;2,36;1012,66;61,34;78,54;4,91
171;2020,02,20;21:11:11;57;64;46;2,27;1012,62;61,58;77,6;5,25
172;2020,02,20;21:14:11;57;64;46;2,22;1012,66;62,16;76,75;4,91
173;2020,02,20;21:17:11;46;52;37;2,18;1012,66;61,71;76,75;4,91
174;2020,02,20;21:20:11;45;51;36;2,12;1012,62;61,63;77,11;5,25
175;2020,02,20;21:23:12;35;39;28;2,06;1012,58;61,59;77,53;5,58
176;2020,02,20;21:26:12;35;40;28;2,02;1012,56;61,59;77,89;5,75
177;2020,02,20;21:29:12;79;89;64;1,97;1012,54;61,51;77,96;5,91
178;2020,02,20;21:32:12;55;62;44;1,98;1012,54;61,83;77,68;5,91
179;2020,02,20;21:35:12;30;34;24;1,99;1012,52;61,89;78,77;6,08
180;2020,02,20;21:38:13;28;31;22;2;1012,54;62,02;79,36;5,91
181;2020,02,20;21:41:13;62;70;50;2;1012,56;61,89;78,77;5,75
182;2020,02,20;21:44:13;66;74;53;1,96;1012,6;61,86;78,18;5,41
183;2020,02,20;21:47:13;33;37;26;1,88;1012,6;61,85;78,77;5,41
184;2020,02,20;21:50:14;26;30;21;1,79;1012,62;61,76;79,66;5,25
185;2020,02,20;21:53:14;24;27;19;1,69;1012,58;61,99;80,81;5,58
186;2020,02,20;21:56:14;27;30;22;1,65;1012,6;62,8;81,36;5,41
187;2020,02,20;21:59:14;33;37;26;1,65;1012,58;62,83;81,04;5,58
188;2020,02,20;22:02:14;32;37;26;1,7;1012,6;63,13;81,04;5,41
189;2020,02,20;22:05:15;37;41;30;1,75;1012,56;62,76;80,81;5,75
190;2020,02,20;22:08:15;35;39;28;1,81;1012,56;62,7;80,04;5,75
191;2020,02,20;22:11:15;33;37;26;1,84;1012,56;62,4;79,14;5,75
192;2020,02,20;22:14:15;29;32;23;1,84;1012,54;62,48;79,14;5,91
193;2020,02,20;22:17:16;31;35;25;1,84;1012,52;62,67;79,89;6,08
194;2020,02,20;22:20:16;29;32;23;1,84;1012,52;63,13;79,36;6,08
195;2020,02,20;22:23:16;33;37;26;1,83;1012,5;63,12;78,99;6,25
196;2020,02,20;22:26:16;35;39;28;1,83;1012,46;62,88;79,21;6,58
197;2020,02,20;22:29:16;42;48;34;1,81;1012,44;62,91;79,59;6,75
198;2020,02,20;22:32:17;50;56;40;1,75;1012,38;62,97;78,84;7,25
199;2020,02,20;22:35:17;44;50;35;1,71;1012,38;63,24;78,99;7,25
200;2020,02,20;22:38:17;34;38;27;1,67;1012,38;63,23;79,06;7,25
201;2020,02,20;22:41:17;31;35;25;1,66;1012,36;63,65;79,51;7,41
202;2020,02,20;22:44:18;26;29;21;1,62;1012,32;62,96;80,12;7,75
203;2020,02,20;22:47:18;26;29;21;1,56;1012,28;63,07;80,58;8,08
204;2020,02,20;22:50:18;24;27;19;1,51;1012,28;63,19;80,5;8,08
205;2020,02,20;22:53:18;35;39;28;1,46;1012,25;63,12;81,67;8,33
206;2020,02,20;22:56:18;32;36;26;1,41;1012,26;62,74;82,72;8,25
207;2020,02,20;22:59:19;36;40;29;1,33;1012,28;62,79;81,91;8,08
208;2020,02,20;23:02:19;19;21;15;1,24;1012,23;62,61;83,46;8,5
209;2020,02,20;23:05:19;24;27;19;1,15;1012,21;62,94;84,38;8,66
210;2020,02,20;23:08:19;26;29;21;1,13;1012,21;63,49;84,04;8,66
211;2020,02,20;23:11:20;26;29;21;1,14;1012,23;63,34;84,04;8,5
212;2020,02,20;23:14:20;23;26;18;1,15;1012,19;63,15;83,38;8,83
213;2020,02,20;23:17:20;19;21;15;1,15;1012,19;63,39;82,96;8,83
214;2020,02,20;23:20:20;17;19;13;1,1;1012,19;62,98;83,62;8,83
215;2020,02,20;23:23:20;15;17;12;1,03;1012,17;63,02;84,98;9
216;2020,02,20;23:26:21;18;20;14;0,92;1012,17;63,31;84,72;9
217;2020,02,20;23:29:21;16;18;13;0,82;1012,17;63,53;84,64;9
218;2020,02,20;23:32:21;16;18;13;0,75;1012,17;63,77;84,64;9
219;2020,02,20;23:35:21;21;24;17;0,71;1012,17;63,79;84,55;9
220;2020,02,20;23:38:22;26;29;21;0,68;1012,17;63,97;84,72;9
221;2020,02,20;23:41:22;24;27;19;0,67;1012,15;64,06;84,13;9,16
222;2020,02,20;23:44:22;26;29;21;0,67;1012,11;64,24;84,46;9,5
223;2020,02,20;23:47:22;39;44;31;0,69;1012,09;64,35;84,38;9,66
224;2020,02,20;23:50:22;43;48;35;0,69;1012,09;64,52;83,21;9,66
225;2020,02,20;23:53:23;35;39;28;0,71;1012,05;64,8;82,39;10
226;2020,02,20;23:56:23;33;37;26;0,74;1012,05;64,49;81,12;10
227;2020,02,20;23:59:23;27;30;22;0,79;1012,11;64,41;81,2;9,5
228;2020,02,21;0:02:23;29;32;23;0,82;1012,13;64,57;80,89;9,33
229;2020,02,21;0:05:24;24;27;19;0,84;1012,13;64,88;81,52;9,33
230;2020,02,21;0:08:24;21;23;17;0,83;1012,11;64,2;82,07;9,5
231;2020,02,21;0:11:24;22;25;17;0,78;1012,11;64,08;82,8;9,5
232;2020,02,21;0:14:24;25;28;20;0,73;1012,05;64,28;82,8;10
233;2020,02,21;0:17:24;24;27;19;0,69;1012,03;64,52;82,64;10,16
234;2020,02,21;0:20:25;27;30;22;0,67;1012,03;64,75;82,64;10,16
235;2020,02,21;0:23:25;30;34;24;0,66;1012,05;64,74;82,8;10
236;2020,02,21;0:26:25;32;36;26;0,65;1012,05;65,14;82,15;10
237;2020,02,21;0:29:25;35;39;28;0,65;1012,07;64,78;82,31;9,83
238;2020,02,21;0:32:26;32;36;26;0,62;1012,05;64,64;82,07;10
239;2020,02,21;0:35:26;31;35;25;0,59;1012,01;64,71;82,15;10,33
240;2020,02,21;0:38:26;32;36;26;0,58;1012,01;64,98;82,39;10,33
241;2020,02,21;0:41:26;28;31;22;0,58;1011,99;64,88;82,96;10,5
242;2020,02,21;0:44:27;28;31;22;0,58;1012,03;64,8;83,05;10,16
243;2020,02,21;0:47:27;19;21;15;0,56;1012,07;64,58;83,46;9,83
244;2020,02,21;0:50:27;15;17;12;0,52;1012,03;64,43;84,29;10,16
245;2020,02,21;0:53:27;15;17;12;0,49;1012,05;64,47;85,15;10
246;2020,02,21;0:56:27;21;23;17;0,49;1012,03;64,47;84,13;10,16
247;2020,02,21;0:59:28;23;26;18;0,56;1011,97;65,02;83,88;10,66
248;2020,02,21;1:02:28;20;22;16;0,68;1011,95;64,46;84,13;10,83
249;2020,02,21;1:05:28;19;21;15;0,81;1011,91;63,66;85,67;11,16
250;2020,02,21;1:08:28;19;21;15;0,9;1011,83;63,19;84,64;11,83
251;2020,02,21;1:11:29;19;21;15;0,99;1011,79;63,16;83,46;12,17
252;2020,02,21;1:14:29;16;18;13;1,11;1011,74;62,98;81,52;12,58
253;2020,02,21;1:17:29;21;23;17;1,28;1011,74;62,71;81,75;12,58
254;2020,02,21;1:20:29;19;21;15;1,52;1011,74;62,45;82,56;12,58
255;2020,02,21;1:23:29;17;19;13;1,77;1011,72;61,59;80,97;12,75
256;2020,02,21;1:26:30;18;20;14;2,01;1011,72;61,48;80,5;12,75
257;2020,02,21;1:29:30;14;15;11;2,21;1011,74;61,06;79,14;12,58
258;2020,02,21;1:32:30;10;11;8;2,39;1011,74;60,69;78,18;12,58
259;2020,02,21;1:35:30;14;15;11;2,57;1011,77;60,2;77,68;12,33
260;2020,02,21;1:38:31;14;15;11;2,68;1011,75;59,72;77,32;12,5
261;2020,02,21;1:41:31;13;14;10;2,75;1011,74;59,48;77,32;12,58
262;2020,02,21;1:44:31;11;12;8;2,84;1011,68;59,25;77,32;13,08
263;2020,02,21;1:47:31;12;13;9;2,91;1011,62;58,95;77,75;13,58
264;2020,02,21;1:50:31;13;14;10;2,96;1011,56;58,11;80,27;14,08
265;2020,02,21;1:53:32;15;17;12;3,01;1011,48;57,47;81,52;14,75
266;2020,02,21;1:56:32;15;17;12;3,09;1011,44;57,08;83,21;15,08
267;2020,02,21;1:59:32;15;17;12;3,19;1011,42;56,95;83,79;15,25
268;2020,02,21;2:02:32;15;17;12;3,3;1011,36;56,91;83,79;15,75
269;2020,02,21;2:05:33;14;15;11;3,38;1011,34;56,76;84,38;15,91
270;2020,02,21;2:08:33;14;15;11;3,47;1011,32;56,76;82,56;16,08
271;2020,02,21;2:11:33;17;19;13;3,53;1011,28;56,64;83,38;16,42
272;2020,02,21;2:14:33;15;17;12;3,58;1011,27;56,63;82,23;16,5
273;2020,02,21;2:17:33;16;18;13;3,62;1011,21;56,6;81,99;17
274;2020,02,21;2:20:34;17;19;13;3,62;1011,17;56,91;82,56;17,33
275;2020,02,21;2:23:34;19;21;15;3,6;1011,13;57,26;83,88;17,67
276;2020,02,21;2:26:34;20;22;16;3,6;1011,09;57,37;82,31;18
277;2020,02,21;2:29:34;18;20;14;3,62;1011,07;57,33;80,58;18,17
278;2020,02,21;2:32:34;17;19;13;3,66;1011,03;57,33;80,42;18,5
279;2020,02,21;2:35:35;17;19;13;3,7;1010,99;57,43;79,51;18,83
280;2020,02,21;2:38:35;16;18;13;3,75;1010,99;57,36;79,21;18,83
281;2020,02,21;2:41:35;17;19;13;3,8;1010,91;57,08;78,69;19,5
282;2020,02,21;2:44:35;18;20;14;3,83;1010,89;56,92;81,04;19,67
283;2020,02,21;2:47:36;18;20;14;3,8;1010,87;57,11;82,23;19,84
284;2020,02,21;2:50:36;16;18;13;3,79;1010,85;57,28;83,54;20
285;2020,02,21;2:53:36;18;20;14;3,82;1010,83;57,28;81,83;20,17
286;2020,02,21;2:56:36;17;19;13;3,86;1010,81;57,14;81,91;20,33
287;2020,02,21;2:59:36;15;17;12;3,93;1010,74;56,76;81,6;20,92
288;2020,02,21;3:02:37;16;18;13;4,01;1010,72;56,52;80,04;21,09
289;2020,02,21;3:05:37;16;18;13;4,11;1010,68;56,42;79,59;21,42
290;2020,02,21;3:08:37;17;19;13;4,19;1010,7;56,19;79,14;21,25
291;2020,02,21;3:11:37;16;18;13;4,25;1010,66;55,93;79,89;21,59
292;2020,02,21;3:14:38;16;18;13;4,3;1010,64;56,1;78,47;21,75
293;2020,02,21;3:17:38;16;18;13;4,3;1010,56;56,04;80,27;22,42
294;2020,02,21;3:20:38;17;19;13;4,27;1010,52;56,1;79,96;22,76
295;2020,02,21;3:23:38;17;19;13;4,21;1010,54;56,29;80,35;22,59
296;2020,02,21;3:26:38;17;19;13;4,12;1010,5;56,73;79,96;22,92
297;2020,02,21;3:29:39;18;20;14;4,01;1010,5;57,14;79,89;22,92
298;2020,02,21;3:32:39;16;18;13;3,87;1010,48;57,38;81,91;23,09
299;2020,02,21;3:35:39;17;19;13;3,73;1010,48;57,65;82,39;23,09
300;2020,02,21;3:38:39;17;19;13;3,61;1010,38;57,9;83,13;23,92
301;2020,02,21;3:41:40;17;19;13;3,5;1010,32;58,25;83,13;24,43
302;2020,02,21;3:44:40;18;20;14;3,4;1010,3;58,55;83,96;24,59
303;2020,02,21;3:47:40;18;20;14;3,31;1010,3;58,56;83,79;24,59
304;2020,02,21;3:50:40;19;21;15;3,22;1010,26;58,79;84,64;24,92
305;2020,02,21;3:53:40;19;21;15;3,16;1010,3;58,92;84,38;24,59
306;2020,02,21;3:56:41;19;21;15;3,13;1010,26;59,05;84,72;24,92
307;2020,02,21;3:59:41;18;20;14;3,16;1010,3;58,63;83,13;24,59
308;2020,02,21;4:02:41;18;20;14;3,23;1010,28;58,42;83,13;24,76
309;2020,02,21;4:05:41;19;21;15;3,34;1010,28;58,12;82,8;24,76
310;2020,02,21;4:08:42;18;20;14;3,45;1010,32;57,86;81,2;24,43
311;2020,02,21;4:11:42;19;21;15;3,57;1010,24;57,35;81,28;25,09
312;2020,02,21;4:14:42;17;19;13;3,66;1010,24;56,92;83,46;25,09
313;2020,02,21;4:17:42;17;19;13;3,75;1010,24;56,92;81,99;25,09
314;2020,02,21;4:20:42;18;20;14;3,83;1010,18;56,69;80,66;25,59
315;2020,02,21;4:23:43;19;21;15;3,88;1010,16;56,44;81,83;25,76
316;2020,02,21;4:26:43;18;20;14;3,88;1010,12;56,47;83,21;26,09
317;2020,02,21;4:29:43;18;20;14;3,83;1010,04;56,84;83,38;26,76
318;2020,02,21;4:32:43;17;19;13;3,75;1010,04;57,13;81,44;26,76
319;2020,02,21;4:35:44;20;22;16;3,64;1009,98;57,58;80,42;27,26
320;2020,02,21;4:38:44;18;20;14;3,51;1009,96;58,12;79,66;27,43
321;2020,02,21;4:41:44;20;22;16;3,4;1009,92;58,6;78,91;27,76
322;2020,02,21;4:44:44;17;19;13;3,29;1009,9;58,74;80,97;27,93
323;2020,02,21;4:47:44;17;19;13;3,19;1009,87;58,85;80,04;28,18
324;2020,02,21;4:50:45;17;19;13;3,11;1009,85;58,91;81,28;28,35
325;2020,02,21;4:53:45;16;18;13;3,05;1009,83;58,91;81,28;28,51
326;2020,02,21;4:56:45;16;18;13;3;1009,83;58,78;82,72;28,51
327;2020,02,21;4:59:45;16;18;13;2,96;1009,81;58,9;82,72;28,68
328;2020,02,21;5:02:46;16;18;13;2,92;1009,85;59,06;84,13;28,35
329;2020,02,21;5:05:46;19;21;15;2,88;1009,87;59,5;81,99;28,18
330;2020,02,21;5:08:46;19;21;15;2,83;1009,88;59,51;81,36;28,1
331;2020,02,21;5:11:46;18;20;14;2,78;1009,94;59,86;78,69;27,6
332;2020,02,21;5:14:46;17;19;13;2,73;1009,94;59,91;77,89;27,6
333;2020,02,21;5:17:47;18;20;14;2,68;1009,98;60,16;79,74;27,26
